,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
117,Rashid Shaheed,NOR,WR,25,5,2,0,0,0,0,0,3,11,3.67,0,21,14,213,15.21,1,1,1,2,,,32,46.4,50.4,39.4,,43,,ShahRa00
118,Gardner Minshew II,IND,QB,27,5,1,57,83,553,2,0,4,4,1.00,0,0,0,0,,0,1,0,0,,,31,30.5,33.5,30.5,,33,,MinsGa00
119,Mike Williams,LAC,WR,29,3,3,0,0,0,0,0,1,3,3.00,0,26,19,249,13.11,1,0,0,1,,,31,50.2,53.2,40.7,,45,,WillMi07
120,Justice Hill,BAL,RB,26,4,1,0,0,0,0,0,29,115,3.97,3,7,7,25,3.57,0,1,1,3,,,30,37.0,41.0,33.5,,29,,HillJu00
121,Brandon Johnson,DEN,WR,25,5,1,0,0,0,0,0,0,0,,0,11,8,122,15.25,3,0,0,3,,,30,38.2,41.2,34.2,,47,,JohnBr23
122,Tyler Lockett,SEA,WR,31,4,4,0,0,0,0,0,0,0,,0,27,17,157,9.24,2,0,0,2,1,,30,46.7,49.7,38.2,,48,,LockTy00
123,Jaylen Waddle,MIA,WR,25,4,4,0,0,0,0,0,1,-2,-2.00,0,26,17,245,14.41,1,0,0,1,,,30,47.3,50.3,38.8,,46,,WaddJa00
124,DJ Chark,CAR,WR,27,4,2,0,0,0,0,0,0,0,,0,21,10,171,17.10,2,0,0,2,,,29,39.1,42.1,34.1,,49,,CharDJ00
125,K.J. Osborn,MIN,WR,26,5,4,0,0,0,0,0,0,0,,0,26,13,166,12.77,2,0,0,2,,,29,41.6,44.6,35.1,,51,,OsboKJ00
126,Rashee Rice,KAN,WR,23,5,0,0,0,0,0,0,1,-3,-3.00,0,24,17,173,10.18,2,0,0,2,,,29,46.0,49.0,37.5,,50,,RiceRa01
127,Miles Sanders,CAR,RB,26,5,5,0,0,0,0,0,61,190,3.11,1,24,15,81,5.40,0,2,2,1,,,29,44.1,49.1,36.6,,30,,SandMi01
128,Jaylen Warren,PIT,RB,25,5,0,0,0,0,0,0,34,124,3.65,0,25,21,166,7.90,0,1,0,0,,,29,50.0,56.0,39.5,,31,,WarrJa01
129,Saquon Barkley,NYG,RB,26,2,2,0,0,0,0,0,29,114,3.93,1,11,9,41,4.56,1,0,0,2,,,28,36.5,39.5,32.0,,35,,BarkSa00
130,AJ Dillon,GNB,RB,25,5,3,0,0,0,0,0,64,194,3.03,1,6,3,25,8.33,0,0,0,1,,,28,30.9,33.9,29.4,,33,,DillAJ00
131,Chris Godwin,TAM,WR,27,4,4,0,1,0,0,0,0,0,,0,30,21,255,12.14,0,0,0,0,1,,28,48.5,51.5,38.0,,53,,GodwCh00
132,Najee Harris,PIT,RB,25,5,5,0,0,0,0,0,63,247,3.92,0,9,5,37,7.40,0,0,0,0,,,28,33.4,36.4,30.9,,32,,HarrNa00
133,Kalif Raymond,DET,WR,29,5,3,0,0,0,0,0,2,51,25.50,0,14,11,164,14.91,1,0,0,1,,,28,38.5,41.5,33.0,,54,,RaymKa00
134,Tyjae Spears,TEN,RB,22,5,0,0,0,0,0,0,27,156,5.78,1,19,14,63,4.50,0,0,0,1,,,28,41.9,44.9,34.9,,34,,SpeaTy00
135,Michael Thomas,NOR,WR,30,5,3,0,0,0,0,0,0,0,,0,39,26,284,10.92,0,0,0,0,,,28,54.4,57.4,41.4,,52,,ThomMi05
136,Joshua Kelley,LAC,RB,26,4,3,0,0,0,0,0,57,207,3.63,1,3,1,5,5.00,0,0,0,1,,,27,28.2,31.2,27.7,,36,,KellJo01
137,Josh Downs,IND,WR,22,5,3,0,0,0,0,0,0,0,,0,33,23,255,11.09,0,0,0,0,,,26,48.5,51.5,37.0,,58,,DownJo00
138,Aaron Jones,GNB,RB,29,2,2,0,0,0,0,0,14,59,4.21,1,6,3,82,27.33,1,0,0,2,,,26,29.1,29.1,27.6,,37,,JoneAa00
139,Allen Lazard,NYJ,WR,28,5,5,0,0,0,0,0,0,0,,0,20,13,202,15.54,1,0,0,1,,,26,39.2,42.2,32.7,,56,,LazaAl00
140,Rondale Moore,ARI,WR,23,5,2,0,0,0,0,0,8,116,14.50,1,17,11,81,7.36,0,0,0,1,,,26,36.7,39.7,31.2,,57,,MoorRo02
141,Nick Westbrook-Ikhine,TEN,WR,26,5,3,0,0,0,0,0,0,0,,0,19,13,143,11.00,2,0,0,2,,,26,39.3,42.3,32.8,,55,,WestNi00
142,Jahmyr Gibbs,DET,RB,21,4,1,0,0,0,0,0,39,179,4.59,0,18,14,70,5.00,0,0,0,0,,,25,38.9,41.9,31.9,,39,,GibbJa01
143,Tee Higgins,CIN,WR,24,4,4,0,0,0,0,0,0,0,,0,32,12,129,10.75,2,0,0,2,,,25,36.9,39.9,30.9,,59,,HiggTe00
144,Latavius Murray,BUF,RB,33,5,0,0,0,0,0,0,19,83,4.37,2,8,7,49,7.00,0,0,0,2,,,25,32.2,32.2,28.7,,38,,MurrLa00
145,Andy Dalton,CAR,QB,36,3,1,34,58,361,2,0,3,12,4.00,0,0,0,0,,0,0,0,0,,,24,23.6,26.6,23.6,,34,,DaltAn00
146,Jake Ferguson,DAL,TE,24,5,4,0,0,0,0,0,0,0,,0,28,20,175,8.75,1,0,0,1,,,24,43.5,46.5,33.5,,13,,FergJa00
147,Roschon Johnson,CHI,RB,22,5,0,0,0,0,0,0,25,122,4.88,1,12,11,58,5.27,0,0,0,1,,,24,35.0,38.0,29.5,,41,,JohnRo07
148,Alvin Kamara,NOR,RB,28,2,2,0,0,0,0,0,33,131,3.97,1,17,16,50,3.13,0,0,0,1,,,24,40.1,43.1,32.1,,40,,KamaAl00
149,Samaje Perine,DEN,RB,28,5,1,0,0,0,0,0,24,88,3.67,0,18,15,168,11.20,0,1,1,0,,,24,38.6,42.6,31.1,,42,,PeriSa00
